community_id,variable,label
7,P24_2,"P24_2 Como considera que son las condiciones de Equipamientos (materiales, máquinas, insumos, etc.)"
7,P24_3,P24_3 Como considera que son las condiciones de Salarios
7,P24_4,P24_4 Como considera que son las condiciones de para conseguir trabajo en una universidad o institut...
7,P24_5,P24_5 Como considera que son las condiciones de para conseguir trabajo en una empresa
8,P1_1,P1_1 Nivel de satisfacción con la situación social del país
8,P1_2,P1_2 Nivel de satisfacción con la situación económica del país
8,P1_3,P1_3 Nivel de satisfacción con la situación ambiental del país
8,P1_4,P1_4 Nivel de satisfacción con la calidad de la democracia
9,P3_5,P3_5 Aprecio por la profesión de Religioso
9,P6_4,P6_4 Nivel de interés en Religión
9,P7_4,P7_4 Nivel de información en Religión
10,P15,P15 ¿Conoce alguna institución que se dedique a hacer investigación científica y tecnológica en nues...
10,P31,"P31. Volvemos a cambiar de tema. ¿Sabe qué es el Consejo Nacional de Ciencia, Tecnología e Innovació..."
11,P2,"P2 ¿Diría que nuestro país está progresando, está estancado o está en retroceso?"
12,P18,P18 El Estado destina recursos económicos para financiar la investigación científica y el desarrollo...
13,P19,P19 Dígame si está de acuerdo o en desacuerdo con la siguiente afirmación: “El Estado debe aumentar ...
14,P25,P25 ¿Cree que en el futuro la investigación científica y el desarrollo tecnológico van a tener en el...
15,P26_8,P26_8 Los científicos no se esfuerzan demasiado en informar al público sobre su trabajo.
