community_id,variable,label,weighted_degree_in_comm
7,P5_3,P5_3 Visitó un zoológico o acuario en el último año,0.7846730525396335
7,P5_4,P5_4 Visitó un parque nacional o reserva natural en el último año,0.7562321005995645
7,P5_5,P5_5 Visitó un laboratorio o institución de ciencia y tecnología en el último año,0.6521199146375282
7,P5_6,P5_6 Realizó alguna actividad de la Semana Nacional de la Ciencia en el último año,0.30209085898709764
8,P1_1,P1_1 Nivel de satisfacción con la situación social del país,1.4580451363653024
8,P1_2,P1_2 Nivel de satisfacción con la situación económica del país,1.3522981730519152
8,P1_3,P1_3 Nivel de satisfacción con la situación ambiental del país,1.30491800454182
8,P1_4,P1_4 Nivel de satisfacción con la calidad de la democracia,1.3698181811543069
9,P15,P15 ¿Conoce alguna institución que se dedique a hacer investigación científica y tecnológica en nuestro país?,0.0
10,P18,P18 El Estado destina recursos económicos para financiar la investigación científica y el desarrollo tecnológico en nues...,0.0
11,P19,P19 Dígame si está de acuerdo o en desacuerdo con la siguiente afirmación: “El Estado debe aumentar los recursos que des...,0.0
12,P25,P25 ¿Cree que en el futuro la investigación científica y el desarrollo tecnológico van a tener en el Perú un lugar muy d...,0.0
13,P26_8,P26_8 Los científicos no se esfuerzan demasiado en informar al público sobre su trabajo.,0.0
14,P2,"P2 ¿Diría que nuestro país está progresando, está estancado o está en retroceso?",0.0
