y_apoya_aumento,w_norm,P41,P42,p43_grupo,mod0_5,mod0_1_dep,idx_capital_informativo,idx_participacion_cultural_cientifica,idx_confianza_valoracion_cientificos,idx_institucionalidad_cti,idx_optimismo_tecnocientifico,idx_actitudes_ia_riesgos_beneficios,idx_percepcion_capacidades_nacionales,idx_contexto_pais,perfil
1.0,1.9475912539255735,Varón,36,educación superior,B,Lima,-0.2868259396416035,0.6094469600183814,-0.8455417834685531,-0.8782338060702254,-0.21283600405650255,0.0025231020550117444,-0.3886551147023883,-0.34380908852354297,1
1.0,1.133040413563988,Mujer,36,educación básica,C,La Libertad,-0.33331925062828444,-0.7368544584942973,-0.433113575908123,0.4292302243338741,-0.24111127659052983,-0.00330875239606742,-1.3130614426466434,0.21007258448282667,1
1.0,1.9475912539255735,Varón,36,educación media,B,Lima,1.373309970741368,1.0398877765133534,0.0939197425418682,1.112813485888597,0.16578473358851667,0.19508519655131412,1.2787544737305896,2.400328158806024,2
1.0,1.9475912539255735,Varón,36,educación media,A,Lima,-0.04439894854562441,-0.16008988072363303,-0.3255458597686097,-0.19433865793397181,-0.22440794899300193,-0.016956979236540076,-0.5566039046149149,-0.04999617721050285,1
1.0,1.9475912539255735,Varón,36,educación superior,A,Lima,-0.41371114642589585,-0.4425073028612983,-0.7220599783235032,-1.4894175771290492,0.2625230855526108,0.6677543410380535,-0.6414820847890539,2.1271521708576477,1
1.0,0.6502640380854083,Varón,36,educación superior,B,Ica,-0.07842047290423783,-0.029341866346852295,-0.5643886878924577,0.592308127958312,0.25826503257546607,0.1869758998187412,0.3663740804973707,-0.3736436670392803,3
1.0,1.9475912539255735,Mujer,36,educación superior,A,Lima,0.1490749730982571,-0.27863255422831273,-0.433113575908123,-0.21276561515325587,0.2281151162374604,-0.06625226997070566,0.4378509312183684,0.5688594038860743,3
1.0,1.9475912539255735,Mujer,36,educación media,E,Lima,-0.06483068952855872,0.17583042457290646,0.27852686461399484,0.2080622932852967,0.18067358696226887,-0.12331735508967064,-0.09092635456186524,-0.386750893294327,3
1.0,1.133040413563988,Mujer,36,educación media,B,La Libertad,-0.03175266858263484,-0.27183007136327725,0.23201318779384209,0.0340068480523171,0.7839396261240368,0.3878743934461786,-0.0032588943737441255,-0.04999617721050285,3
1.0,1.9475912539255735,Varón,36,educación media,B,Lima,-0.22619763269585294,-0.4609646880179047,-0.8835873092300424,-0.5624228468302387,0.5364819551523068,0.4297560932020393,-1.1121154044454278,-0.9894333630854995,1
0.0,0.6094400561917035,Mujer,36,educación superior,A,Arequipa,-0.13517255514138707,0.1461021035915873,-0.5400384360502741,-0.23123308085502448,0.14684722372601783,0.6259784939103453,-0.08924482791126898,-0.6794473404670549,3
1.0,0.6057317449894515,Varón,36,educación superior,B,Áncash,0.5522008821541646,0.009262078068406017,-0.3022496931360425,-0.35689635586381857,0.02276395167225193,-0.1603907524683936,0.66578436728849,0.8746630773138488,3
1.0,0.6502640380854083,Mujer,36,educación media,C,Ica,-0.2328820571619682,-0.14603560991544867,0.8668498393463459,-0.3835789717180569,-0.37201546260194496,-0.35617266719055,-0.47963805626978545,-0.04999617721050285,1
